Date,Month,Day,Year,Unemployment_Rate,Age_Group
2010-01-01,1,1,2010,4.2,25 to 34 years
2010-02-01,2,1,2010,4.7,25 to 34 years
2010-03-01,3,1,2010,3.2,25 to 34 years
2010-04-01,4,1,2010,4.3,25 to 34 years
2010-05-01,5,1,2010,3.3,25 to 34 years
2010-06-01,6,1,2010,3.9,25 to 34 years
2010-07-01,7,1,2010,6.6,25 to 34 years
2010-08-01,8,1,2010,5.2,25 to 34 years
2010-09-01,9,1,2010,4.2,25 to 34 years
2010-10-01,10,1,2010,3.6,25 to 34 years
2010-11-01,11,1,2010,3.5,25 to 34 years
2010-12-01,12,1,2010,3.3,25 to 34 years
2011-01-01,1,1,2011,3.7,25 to 34 years
2011-02-01,2,1,2011,3.4,25 to 34 years
2011-03-01,3,1,2011,2.7,25 to 34 years
2011-04-01,4,1,2011,2.6,25 to 34 years
2011-05-01,5,1,2011,3.3,25 to 34 years
2011-06-01,6,1,2011,3.2,25 to 34 years
2011-07-01,7,1,2011,3.8,25 to 34 years
2011-08-01,8,1,2011,4.4,25 to 34 years
2011-09-01,9,1,2011,3.3,25 to 34 years
2011-10-01,10,1,2011,3.5,25 to 34 years
2011-11-01,11,1,2011,3.7,25 to 34 years
2011-12-01,12,1,2011,3.3,25 to 34 years
2012-01-01,1,1,2012,3.5,25 to 34 years
2012-02-01,2,1,2012,2.8,25 to 34 years
2012-03-01,3,1,2012,3.0,25 to 34 years
2012-04-01,4,1,2012,2.6,25 to 34 years
2012-05-01,5,1,2012,2.2,25 to 34 years
2012-06-01,6,1,2012,2.5,25 to 34 years
2012-07-01,7,1,2012,3.8,25 to 34 years
2012-08-01,8,1,2012,4.6,25 to 34 years
2012-09-01,9,1,2012,3.2,25 to 34 years
2012-10-01,10,1,2012,3.6,25 to 34 years
2012-11-01,11,1,2012,3.2,25 to 34 years
2012-12-01,12,1,2012,2.9,25 to 34 years
2013-01-01,1,1,2013,2.2,25 to 34 years
2013-02-01,2,1,2013,2.9,25 to 34 years
2013-03-01,3,1,2013,2.2,25 to 34 years
2013-04-01,4,1,2013,3.1,25 to 34 years
2013-05-01,5,1,2013,2.4,25 to 34 years
2013-06-01,6,1,2013,3.1,25 to 34 years
2013-07-01,7,1,2013,4.5,25 to 34 years
2013-08-01,8,1,2013,3.3,25 to 34 years
2013-09-01,9,1,2013,2.6,25 to 34 years
2013-10-01,10,1,2013,2.7,25 to 34 years
2013-11-01,11,1,2013,2.3,25 to 34 years
2013-12-01,12,1,2013,1.7,25 to 34 years
2014-01-01,1,1,2014,2.2,25 to 34 years
2014-02-01,2,1,2014,1.8,25 to 34 years
2014-03-01,3,1,2014,2.7,25 to 34 years
2014-04-01,4,1,2014,2.5,25 to 34 years
2014-05-01,5,1,2014,2.0,25 to 34 years
2014-06-01,6,1,2014,2.7,25 to 34 years
2014-07-01,7,1,2014,2.6,25 to 34 years
2014-08-01,8,1,2014,3.7,25 to 34 years
2014-09-01,9,1,2014,2.3,25 to 34 years
2014-10-01,10,1,2014,2.8,25 to 34 years
2014-11-01,11,1,2014,2.7,25 to 34 years
2014-12-01,12,1,2014,2.1,25 to 34 years
2015-01-01,1,1,2015,2.8,25 to 34 years
2015-02-01,2,1,2015,2.5,25 to 34 years
2015-03-01,3,1,2015,2.2,25 to 34 years
2015-04-01,4,1,2015,1.6,25 to 34 years
2015-05-01,5,1,2015,1.4,25 to 34 years
2015-06-01,6,1,2015,2.5,25 to 34 years
2015-07-01,7,1,2015,2.4,25 to 34 years
2015-08-01,8,1,2015,2.4,25 to 34 years
2015-09-01,9,1,2015,2.4,25 to 34 years
2015-10-01,10,1,2015,3.3,25 to 34 years
2015-11-01,11,1,2015,3.0,25 to 34 years
2015-12-01,12,1,2015,3.3,25 to 34 years
2016-01-01,1,1,2016,2.4,25 to 34 years
2016-02-01,2,1,2016,1.6,25 to 34 years
2016-03-01,3,1,2016,2.0,25 to 34 years
2016-04-01,4,1,2016,1.1,25 to 34 years
2016-05-01,5,1,2016,1.8,25 to 34 years
2016-06-01,6,1,2016,2.8,25 to 34 years
2016-07-01,7,1,2016,4.0,25 to 34 years
2016-08-01,8,1,2016,3.9,25 to 34 years
2016-09-01,9,1,2016,2.3,25 to 34 years
2016-10-01,10,1,2016,2.6,25 to 34 years
2016-11-01,11,1,2016,2.1,25 to 34 years
2016-12-01,12,1,2016,2.5,25 to 34 years
2017-01-01,1,1,2017,2.5,25 to 34 years
2017-02-01,2,1,2017,1.0,25 to 34 years
2017-03-01,3,1,2017,1.3,25 to 34 years
2017-04-01,4,1,2017,1.4,25 to 34 years
2017-05-01,5,1,2017,2.0,25 to 34 years
2017-06-01,6,1,2017,2.5,25 to 34 years
